state,parent,value
New York,Union,509636
Pennsylvania,Union,508102
Ohio,Union,464175
Illinois,Union,370437
Virginia,Confederate,282432
Indiana,Union,277183
Missouri,Border,265571
Tennessee,Confederate,249136
Georgia,Confederate,244142
United States Colored Troops,Union,227885
North Carolina,Confederate,202009
Alabama,Confederate,199375
Mississippi,Confederate,174436
Massachusetts,Union,164403
Texas,Confederate,162620
Kentucky,Border,159484
Michigan,Union,142898
Louisiana,Confederate,141580
South Carolina,Confederate,133226
Wisconsin,Union,127520
Arkansas,Confederate,120567
